Title,price
"Wet n Wild-MegaGlo Dual-Ended Contour Stick  - Light/Medium, E7511",Rs.960.00
"L.A Girl- Illuminating Blush- Playful Pink, BL565",Rs.578.00
"Maybelline New York- Fit Me Liquid Foundation Matte & Poreless Tube- 128 Warm Nude, 18 ml",Rs.599.25
Color Studio- Eye Makeup Remover,
The Ordinary- 1.0 N Very Fair Serum Foundation 30ml,"Rs.1,780.00"
Rimmel London- Lasting Finish Foundation True Ivory 034-103,"Rs.1,440.00"
Neutrogena- Deep Clean Makeup Removing Wipes 25'S,Rs.490.00
"L.A Girl- Illuminating Blush - Bashful, GBL552",Rs.640.00
"Wet n Wild- Photo Focus MATTE Setting Spray - Matte Appeal, E772",
Rimmel London- Lasting Finish Foundation- Ivory 034-100,"Rs.1,440.00"
The Ordinary- 2.0 P Light Medium Coverage Foundation 30ml,"Rs.1,825.00"
The Ordinary- 2.0 N Light Medium Serum Foundation 30ml,"Rs.1,780.00"
Wet n Wild- E373C Photo Focus Foundation - Amber Beige,"Rs.1,360.00"
Wet N Wild- Photo Focus Setting Spray,
The Ordinary- 1.1 N Fair Serum Foundation 30ml,"Rs.1,780.00"
"Maybelline New York- Fit Me Liquid Foundation Matte & Poreless- 130 Buff Beige, 18 ml",Rs.599.25
"Benefit- High Beam Satiny Pink Complexion Highlighter Full-Size, 6.0 mL","Rs.2,500.00"
Charlotte Tilbury- 2-Fair Light Wonder( 40ml ),"Rs.7,999.00"
I Heart Makeup- Hearts Blusher Blushing Heart,
"Bourjois- Face Blush 15 Rose Eclat,8414",
Max Factor- Lasting Performance Make Up Foundation - Ivory Beige 101,
"Maybelline New York- Fit Me Liquid Foundation Matte & Poreless- 220 Natural Beige, 18 ml",Rs.599.25
"L.A. Girl Pro Coverage Foundation - Natural,GLM644",
Charlotte Tilbury- 4. Medium Hollywood Flawless Filter( 30ml ),"Rs.7,999.00"
"The Ordinary- Serum Foundation 30ml, 2.1 P Medium","Rs.1,780.00"
"Wet N Wild- Megaglo Hello Halo liquid highlighters - Halo, Goodbye, E304A","Rs.1,160.00"
"L.A Girl- Glowin UP Jelly Highlighter - Princess Glow, GLH701","Rs.1,599.20"
"Charlotte Tilbury- Airbrush Flawless Foundation- 3 Neutral-Light beige, 30 ml","Rs.7,799.00"
NARS- All Day Luminous Weightless Foundation Fiji ( 30ml ),"Rs.6,999.00"
L.A Girl- Just Blushing - Just Kissed GBL485,
"Wet N Wild- Megaglo Hello Halo liquid highlighters - Guilded Glow, E306B","Rs.1,160.00"
"L.A. Girl Pro Coverage Foundation - Fair,GLM642",
"L.A Girl- Illuminating Blush - Bronzed Baby, GBL551",
"L.A Girl- Pro Conceal HD Concealer- Green Corrector, GC992",Rs.920.00
L'Oreal Paris- True Match Concealer - 4N Beige,
"L.A. Girl Velvet Contour Sticks -Blush  Snuggle,GCS584",Rs.750.00
Charlotte Tilbury- 2 Magic Foundation( 30ml ),"Rs.8,200.00"
Essence- Counting Stars Highlighter & Eyeshadow Trio 02,
Charlotte Tilbury- 3-Fair Light Wonder( 40ml ),"Rs.7,999.00"
